Gene	Species	Experiment accession	Comparison	PECOid	log_2 fold change	Adjusted p-value	t-statistic	ROid	developmental stage	POid LifeStage	anatomical part	POid Anatomy	cultivar
AT1G22640	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.1	1.02E-06		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G59220	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.1	1.33E-06		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G10930	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.1	1.84E-06		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G27410	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.1	2.88E-06		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G72645	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.1	4.54E-05		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G26220	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.1	3.89E-04		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G44460	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.1	0.001667035		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G13277	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.1	0.005395631		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G56360	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1	7.03E-10		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G25900	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1	3.98E-07		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G54040	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1	3.23E-06		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G05250	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1	3.24E-06		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G34760	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1	3.85E-05		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G24500	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1	1.27E-04		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G64590	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1	3.52E-04		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G07215	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1	0.001819234		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G26800	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1	0.003418428		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G67430	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1	0.004328779		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G16447	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1	0.004377921		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
